State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Krishna,Tiruvuru,Maize,Hybrid/Local,FAQ,12/09/2025,2300,2400,2350
"Andhra Pradesh",Krishna,Tiruvuru,Paddy(Dhan)(Common),Sona,Non-FAQ,12/09/2025,2200,2400,2300
"Andhra Pradesh",Nellore,Atmakur(SPS),Cotton,Local,FAQ,12/09/2025,7121,7600,7521
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Bottle gourd","Bottle Gourd",FAQ,12/09/2025,2500,3500,3000
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),"Green Chilli",Other,FAQ,12/09/2025,2000,3500,2800
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Pomegranate,Other,Medium,12/09/2025,4000,12000,9000
Gujarat,Amreli,Babra,Cotton,"Shanker 6 (B) 30mm FIne",FAQ,12/09/2025,6800,7300,7200
Gujarat,Amreli,Damnagar,Guar,Gwar,FAQ,12/09/2025,4250,5050,4800
Gujarat,Amreli,Damnagar,Lemon,Lemon,FAQ,12/09/2025,2200,3050,2850
Gujarat,Bharuch,Jambusar,Cotton,Other,FAQ,12/09/2025,5600,6400,6000
Gujarat,Bharuch,Jambusar(Kaavi),Jowar(Sorghum),Other,FAQ,12/09/2025,3200,3600,3400
Gujarat,Gandhinagar,Kalol,"Bajra(Pearl Millet/Cumbu)",Other,FAQ,12/09/2025,1900,2450,2150
Gujarat,Gandhinagar,Kalol,Jowar(Sorghum),Other,FAQ,12/09/2025,3960,3960,3960
Gujarat,Mehsana,Kadi,Ajwan,Other,FAQ,12/09/2025,4750,8875,7500
Gujarat,Mehsana,Kadi,"Bajra(Pearl Millet/Cumbu)",Deshi,FAQ,12/09/2025,2450,2700,2625
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Cauliflower,Cauliflower,FAQ,12/09/2025,800,3500,2150
Gujarat,Rajkot,"Gondal(Veg.market Gondal)",Lemon,Other,FAQ,12/09/2025,1000,3000,2000
Gujarat,Surat,Surat,"Bitter gourd",Other,FAQ,12/09/2025,2500,5000,3750
Gujarat,Surat,Surat,Cucumbar(Kheera),Other,FAQ,12/09/2025,1500,3000,2250
Gujarat,Surat,Surat,"Indian Beans (Seam)",Other,FAQ,12/09/2025,3500,9000,6250
Gujarat,Surat,Surat,Lemon,Other,FAQ,12/09/2025,1000,4000,2500
Gujarat,Surat,Surat,"Pegeon Pea (Arhar Fali)",Other,FAQ,12/09/2025,8000,19000,13500
Gujarat,Surat,Surat,Potato,Other,FAQ,12/09/2025,500,1950,1225
Gujarat,Surat,Surat,"Turmeric (raw)",Other,FAQ,12/09/2025,5000,12000,8500
Haryana,Bhiwani,Bhiwani,Banana,Medium,Large,12/09/2025,5440,6120,5890
Haryana,Bhiwani,Bhiwani,Pomegranate,Other,Large,12/09/2025,7580,10241,8908
Haryana,Gurgaon,Gurgaon,Apple,Other,Large,12/09/2025,5000,10000,7500
Haryana,Gurgaon,Gurgaon,Brinjal,Brinjal,FAQ,12/09/2025,1000,2000,1500
Haryana,Gurgaon,Gurgaon,Guava,Other,Large,12/09/2025,2000,3000,2500
Haryana,Karnal,Tarori,Onion,Other,Non-FAQ,12/09/2025,3000,3500,3200
Haryana,Kurukshetra,Ladwa,Apple,Apple,Medium,12/09/2025,4000,9000,8000
